,EinheitMastrNummer,DatumLetzteAktualisierung,Name,Einheitart,Einheittyp,Standort,Bruttoleistung,Erzeugungsleistung,EinheitBetriebsstatus,Anlagenbetreiber,EegMastrNummer,KwkMastrNummer,SpeMastrNummer,GenMastrNummer,BestandsanlageMastrNummer_basic,NichtVorhandenInMigriertenEinheiten,EinheitSystemstatus,NameKraftwerk,NameKraftwerksblock,DatumBaubeginn,AnzeigeEinerStilllegung,ArtDerStilllegung,DatumBeginnVorlaeufigenOderEndgueltigenStilllegung,SteigerungNettonennleistungKombibetrieb,AnlageIstImKombibetrieb,MastrNummernKombibetrieb,NetzreserveAbDatum,SicherheitsbereitschaftAbDatum,Hauptbrennstoff,WeitererHauptbrennstoff,WeitereBrennstoffe,VerknuepfteErzeugungseinheiten,BestandteilGrenzkraftwerk,NettonennleistungDeutschland,AnteiligNutzungsberechtigte,Notstromaggregat,Einsatzort,KwkMastrNummer_extended,Technologie,AusschliesslicheVerwendungImKombibetrieb,NetzbetreiberMastrNummer,Registrierungsdatum,EinheitMastrNummer_extended,DatumLetzteAktualisierung_1,LokationMastrNummer,NetzbetreiberpruefungStatus,NetzbetreiberpruefungDatum,AnlagenbetreiberMastrNummer,Land,Bundesland,Landkreis,Gemeinde,Gemeindeschluessel,Postleitzahl,Gemarkung,FlurFlurstuecknummern,Strasse,StrasseNichtGefunden,Hausnummer,HausnummerNichtGefunden,Adresszusatz,Ort,Laengengrad,Breitengrad,UtmZonenwert,UtmEast,UtmNorth,GaussKruegerHoch,GaussKruegerRechts,Meldedatum,GeplantesInbetriebnahmedatum,Inbetriebnahmedatum,DatumEndgueltigeStilllegung,DatumBeginnVoruebergehendeStilllegung,DatumBeendigungVorlaeufigenStilllegung,DatumWiederaufnahmeBetrieb,EinheitSystemstatus_1,EinheitBetriebsstatus_extended,BestandsanlageMastrNummer,NichtVorhandenInMigriertenEinheiten_extended,AltAnlagenbetreiberMastrNummer,DatumDesBetreiberwechsels,DatumRegistrierungDesBetreiberwechsels,NameStromerzeugungseinheit,Weic,WeicDisplayName,Kraftwerksnummer,Energietraeger,Bruttoleistung_extended,Nettonennleistung,AnschlussAnHoechstOderHochSpannung,Schwarzstartfaehigkeit,Inselbetriebsfaehigkeit,Einsatzverantwortlicher,FernsteuerbarkeitNb,FernsteuerbarkeitDv,FernsteuerbarkeitDr,Einspeisungsart,PraequalifiziertFuerRegelenergie,GenMastrNummer_extended,Netzbetreiberzuordnungen,Hausnummer_nv,Weic_nv,Kraftwerksnummer_nv,DatenQuelle,DatumDownload,Registrierungsdatum_1,KwkMastrNummer_kwk,Zuschlagnummer,DatumLetzteAktualisierung_kwk,Inbetriebnahmedatum_kwk,Meldedatum_kwk,ThermischeNutzleistung,ElektrischeKwkLeistung,VerknuepfteEinheiten_kwk,AnlageBetriebsstatus_kwk,AusschreibungZuschlag_kwk,Netzbetreiberzuordnungen_1,DatenQuelle_1,DatumDownload_1,Registrierungsdatum_2,GenMastrNummer_permit,DatumLetzteAktualisierung_permit,Art,Datum,Behoerde,Aktenzeichen,Frist,WasserrechtsNummer,WasserrechtAblaufdatum,Meldedatum_permit,VerknuepfteEinheiten,Frist_nv,WasserrechtAblaufdatum_nv,Netzbetreiberzuordnungen_2,DatenQuelle_2,DatumDownload_2
3678,SEE992303247537,2019-03-05 15:50:56.695839,,,Verbrennung,,0.75,,In Betrieb,,,KWK979302190569,,,,0,Aktiviert,Block I,Block II,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK979302190569,Brennstoffzelle,,,2019-03-05,SEE992303247537,2019-03-05 15:50:56.695839,SEL958510167051,0,2020-04-24,ABR998969589684,Deutschland,Brandenburg,Oder-Spree,Erkner,12067124,15537,,,,,,,,Erkner,,,,,,,,,,2019-02-18,,,,,Aktiviert,In Betrieb,,False,,,,KWK Anton,,,,Erdgas,0.75,0.75,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2019-03-05,KWK979302190569,,2019-03-05 15:50:56.424824,2019-02-18,,31.9,1.0,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
7979,SEE939419560396,2019-05-28 08:26:38.031669,,,Verbrennung,,20.0,,In Betrieb,,,KWK973015541212,,,,0,Aktiviert,G204161033,G204161033,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK973015541212,Verbrennungsmotor,,,2019-05-07,SEE939419560396,2019-05-28 08:26:38.031669,SEL998938453862,1,,ABR970870397190,Deutschland,Brandenburg,Oder-Spree,Erkner,12067124,15537,,,,,,,,Erkner,,,,,,,,,,2013-10-16,,,,,Aktiviert,In Betrieb,,False,,,,G204161033,,,,Erdgas,20.0,20.0,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2019-05-07,KWK973015541212,,2019-05-07 11:14:44.127669,2013-10-16,,46.7,20.0,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
14702,SEE908940143385,2020-09-21 10:43:28.817696,,,Verbrennung,,0.75,,In Betrieb,,,KWK900704811691,,,,0,Aktiviert,Vitovalor,Stromerzeuger,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK900704811691,Brennstoffzelle,,,2019-08-13,SEE908940143385,2020-09-21 10:43:28.817696,SEL991370713983,1,,ABR979226796205,Deutschland,Brandenburg,Oder-Spree,Erkner,12067124,15537,,,,,,,,Erkner,,,,,,,,,,2019-10-14,,,,,Aktiviert,In Betrieb,,False,,,,Heizungskeller,,,,Erdgas,0.75,0.75,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2019-08-13,KWK900704811691,,2020-09-21 10:43:28.754695,2019-08-13,,30.8,0.75,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
18747,SEE963934132509,2020-09-28 09:23:42.046214,,,Verbrennung,,0.75,,In Betrieb,,,KWK953569432747,,,,0,Aktiviert,KWK Erkner,Stromheizung,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK953569432747,Brennstoffzelle,,,2019-10-23,SEE963934132509,2020-09-28 09:23:42.046214,SEL933196121733,0,2021-04-26,ABR998120302619,Deutschland,Brandenburg,Oder-Spree,Erkner,12067124,15537,,,,,,,,Erkner,,,,,,,,,,2019-09-30,,,,,Aktiviert,In Betrieb,,False,,,,KWK-Stromanlage Krause,,,,Erdgas,0.75,0.75,,,,,False,,,Volleinspeisung,,,,,False,False,bulk,2024-01-08,2019-10-23,KWK953569432747,,2020-09-28 09:23:42.000216,2019-09-25,,19.0,0.75,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
36319,SEE994965467100,2021-09-03 04:38:47.525358,,,Verbrennung,,50.0,,In Betrieb,,,KWK931112354456,,,,0,Aktiviert,,,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK931112354456,Verbrennungsmotor,,,2020-08-12,SEE994965467100,2021-09-03 04:38:47.525358,SEL994970649102,1,,ABR949818484049,Deutschland,Brandenburg,Oder-Spree,Erkner,12067124,15537,,,Hessenwinkler Straße,False,1 a,False,,Erkner,13.749034,52.425845,,,,,,,,2017-08-25,,,,,Aktiviert,In Betrieb,,False,,,,DRK Erkner,,,,Erdgas,50.0,50.0,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,False,False,False,bulk,2024-01-08,2020-08-12,KWK931112354456,,2021-09-03 04:38:47.494107,2017-08-29,,80.0,50.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
43505,SEE965102542646,2020-11-06 15:45:33.133939,,,Verbrennung,,1.0,,In Betrieb,,,KWK991241197348,,,,0,Aktiviert,,,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK991241197348,Brennstoffzelle,,,2020-11-06,SEE965102542646,2020-11-06 15:45:33.133939,SEL901787175137,1,,ABR983676564710,Deutschland,Brandenburg,Oder-Spree,Erkner,12067124,15537,,,,,,,,Erkner,,,,,,,,,,2016-11-10,,,,,Aktiviert,In Betrieb,,False,,,,KWK,,,,Erdgas,1.0,1.0,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2020-11-06,KWK991241197348,,2020-11-06 15:45:32.701936,2016-11-10,,1.0,1.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
72886,SEE917083583125,2023-01-17 12:07:16.472292,,,Verbrennung,,900.0,,In Betrieb,,,,,,,0,Aktiviert,,,,,,,,False,,,,Dampf (zum Beispiel Prozesswärme),,,,False,,,False,,,Dampfmotor,,,2023-01-17,SEE917083583125,2023-01-17 12:07:16.472292,SEL995451367508,0,2023-10-18,ABR903931427123,Deutschland,Brandenburg,Oder-Spree,Erkner,12067124,15537,,,Dr. Hans Lebach Straße,True,7,True,,Erkner,13.747891,52.428928,,,,,,,,2016-06-01,,,,,Aktiviert,In Betrieb,,False,,,,Dampfturbine,,,,Wärme,900.0,900.0,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,False,False,False,bulk,2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
